Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSMUSG00000046761,Fam83h,Gene Expression,0.02002354687559263,0.03240183352759596,0.07391116797805633,39,0.029844338915661822,36
ENSMUSG00000028580,Pum1,Gene Expression,0.020023086526589226,0.037553670866025346,0.08421709031601027,201,0.16646381710233651,176
ENSMUSG00000042216,Sgsm1,Gene Expression,0.02001962615144429,0.03429099947060732,0.07773272100255567,50,0.03900131407297573,43
ENSMUSG00000040322,Slc25a24,Gene Expression,0.020013888711992642,0.038176667327380676,0.08540902900864175,410,0.2717524666287319,303
ENSMUSG00000025971,Maip1,Gene Expression,0.020013437992732877,0.037334473090721465,0.08379379759620686,160,0.11101584826283668,149
ENSMUSG00000038883,Prl3a1,Gene Expression,0.02001213915989004,0.03234737551080302,0.07381316316370141,25,0.02685646260160547,24
ENSMUSG00000033623,Pcgf3,Gene Expression,0.02000274413221791,0.03815669754380746,0.08538059638548137,325,0.2258579501494845,268
ENSMUSG00000021431,Snrnp48,Gene Expression,0.019999925893462427,0.03791425487947597,0.08493674819860281,236,0.16236728474799253,195
ENSMUSG00000028152,Tspan5,Gene Expression,0.019999657042202124,0.038001881139727356,0.08508358419964988,295,0.23804486407354233,237
ENSMUSG00000062012,Zfp13,Gene Expression,0.01999315274245203,0.035257324806597046,0.0796701407135701,62,0.040140598048830474,58
ENSMUSG00000045790,Ccdc149,Gene Expression,0.019989235872192188,0.03727905686951605,0.08370842769791331,126,0.10892185496545491,114
ENSMUSG00000035745,Grin3b,Gene Expression,0.01998162308629263,0.0329320669438542,0.0749697745173455,44,0.039296444019379644,40
ENSMUSG00000035310,Lin54,Gene Expression,0.019981572675228796,0.03752765839120897,0.08417835214402515,172,0.11624046263088475,151
ENSMUSG00000066595,Flvcr1,Gene Expression,0.019978643734219242,0.03844106425565408,0.0859769612200408,375,0.25861332907366985,292
ENSMUSG00000025915,Sgk3,Gene Expression,0.019975264626248882,0.03853628488458405,0.08617992624334257,463,0.33580243112201325,339
ENSMUSG00000029422,Rsrc2,Gene Expression,0.019974144961187042,0.03880798904508853,0.0867472696301979,1965,1.393717374858152,756
ENSMUSG00000079197,Psme2,Gene Expression,0.019971238342891835,0.036751945445707035,0.08261147835223331,116,0.09402735219495437,106
ENSMUSG00000042564,Fam227a,Gene Expression,0.019967422017858824,0.0368004168555458,0.0826914895193545,76,0.06437798532316086,74
ENSMUSG00000063146,Clip2,Gene Expression,0.01996583448213323,0.03796454266467486,0.08501652125802493,178,0.15030260476910515,155
ENSMUSG00000040848,Sft2d2,Gene Expression,0.019958666246575583,0.03893933506520564,0.08701110921877993,1136,0.8387013024105793,625
ENSMUSG00000049160,Tex50,Gene Expression,0.019952767951780446,0.03360929589212813,0.07633109685933522,29,0.022410321939238097,28
ENSMUSG00000074433,Lce3e,Gene Expression,0.019949497614606387,0.034725219947927544,0.07859681479285387,31,0.027303618273176095,31
ENSMUSG00000042622,Maff,Gene Expression,0.01994548106499381,0.038178270415365034,0.08540902900864175,211,0.18063761838974837,172
ENSMUSG00000029202,Pds5a,Gene Expression,0.019940936136055014,0.038984608712510305,0.08710164344836177,647,0.4484941916308877,423
ENSMUSG00000074871,Ctsm,Gene Expression,0.019934382332720626,0.03128246238926824,0.07163769409148246,19,0.01605631474740991,18
ENSMUSG00000090411,Vmn1r174,Gene Expression,0.019930119738447365,0.028785706777592956,0.06656889050259343,15,0.013077834755594502,15
ENSMUSG00000028926,Cdk14,Gene Expression,0.01991927366063198,0.03776719732292522,0.08465652398178909,158,0.13331748322495388,127
ENSMUSG00000030316,Tamm41,Gene Expression,0.01991719250404686,0.03787830542653192,0.08487595165707885,152,0.10640679495524523,135
ENSMUSG00000031229,Atrx,Gene Expression,0.019913566273719534,0.039268589450492275,0.08765480759508563,1111,0.825174424901584,594
ENSMUSG00000035878,Hykk,Gene Expression,0.019903376018925632,0.03443293955030513,0.07801776001131114,34,0.03098335032293455,34
ENSMUSG00000044968,Napepld,Gene Expression,0.019899776701464228,0.03790288584484358,0.08492115346979374,136,0.1116399188092967,123
ENSMUSG00000051329,Nup160,Gene Expression,0.019898919248604964,0.038787736496001646,0.08671205979716497,256,0.16336745220759044,209
ENSMUSG00000027889,Ampd2,Gene Expression,0.01989235433991339,0.039519050545981704,0.0881321944459872,980,0.6923055965809057,545
ENSMUSG00000032497,Lrrfip2,Gene Expression,0.019889757286492827,0.039515778928228995,0.0881321944459872,829,0.6711034319053891,548
ENSMUSG00000040102,Klhl42,Gene Expression,0.019889441477757536,0.03954005921166148,0.08815863682118623,779,0.5534540179827963,496
ENSMUSG00000071337,Tia1,Gene Expression,0.01988304632034864,0.039446459219921515,0.08800643822566194,471,0.3356717300549345,355
ENSMUSG00000016756,Cmah,Gene Expression,0.019872632470550808,0.03933475409882736,0.08779232767238275,359,0.23243608021279694,264
ENSMUSG00000031652,N4bp1,Gene Expression,0.019872419014989668,0.0393890821814582,0.08789321951679102,357,0.2635751996832183,290
ENSMUSG00000026374,Tsn,Gene Expression,0.01986824871367062,0.03980376143764608,0.08867264228475212,1546,1.1205427974344335,693
ENSMUSG00000005371,Fbxo11,Gene Expression,0.019866574662810173,0.03913882657309653,0.08740566045639014,288,0.19287719289693156,232
ENSMUSG00000004947,Dtx2,Gene Expression,0.019864309048320313,0.03913005823140736,0.08739620935384816,201,0.14968539660388536,172
ENSMUSG00000024679,Ms4a6d,Gene Expression,0.019861319915273387,0.03558591440007719,0.08029962834760918,55,0.04051295237557166,55
ENSMUSG00000019518,Ap4m1,Gene Expression,0.019857191938236155,0.038933693970341965,0.08701110921877993,146,0.10951903937985369,130
ENSMUSG00000067629,Syngap1,Gene Expression,0.019854198692923656,0.039565221756457714,0.08820161187390407,352,0.28310185217952744,280
ENSMUSG00000031767,Nudt7,Gene Expression,0.019852734269017753,0.03945395846730082,0.08800740579263837,294,0.21812427602057619,229
ENSMUSG00000019775,Rgs17,Gene Expression,0.019848147053890833,0.034626837318786574,0.07840176845501728,32,0.029650536257420708,27
ENSMUSG00000043061,Tmem18,Gene Expression,0.0198467036484123,0.039583980405740515,0.08821572776136458,311,0.25645867953392004,258
ENSMUSG00000076795,Trav8d-2,Gene Expression,0.019831118511508296,0.030339826575847217,0.06968611096927425,24,0.02666420198403092,23
ENSMUSG00000022174,Dad1,Gene Expression,0.0198296298280542,0.04017395981736227,0.08936514372951178,1641,1.181291925976747,721
ENSMUSG00000025764,Jade1,Gene Expression,0.019829396255004177,0.039866324756642646,0.0887730712854227,448,0.32044288013760036,330
ENSMUSG00000009555,Cdk9,Gene Expression,0.01982844419769093,0.04010092679008204,0.08922328854806796,813,0.6099355528931424,520
ENSMUSG00000027710,Acad9,Gene Expression,0.01982731082870538,0.04000385189043354,0.08904465825890896,524,0.3894272700345155,372
ENSMUSG00000037784,Dzip1l,Gene Expression,0.019820459894712955,0.03809771383823146,0.08527832633988235,75,0.06502834303916566,69
ENSMUSG00000045160,Bola3,Gene Expression,0.01981993168788116,0.039807416335555956,0.08867264228475212,314,0.20658871080700567,246
ENSMUSG00000073931,Olfr646,Gene Expression,0.01981810599370902,0.033251718712042466,0.07560812140991503,21,0.01566327120683826,21
ENSMUSG00000032030,Cul5,Gene Expression,0.019817840945280687,0.03956849016018649,0.08820161187390407,206,0.14505698485466614,180
ENSMUSG00000021486,Prelid1,Gene Expression,0.019817218744454818,0.04021917952714271,0.08945540438350628,794,0.5592554278175303,478
ENSMUSG00000027610,Gss,Gene Expression,0.019812779368164425,0.04009367601029057,0.08921745923010603,460,0.31923429141542337,345
ENSMUSG00000021810,Ecd,Gene Expression,0.019807370286772874,0.03990846723439345,0.08885664275255106,522,0.3857473952064839,381
ENSMUSG00000040046,Tph1,Gene Expression,0.01980386705596044,0.03447480402566838,0.0781034306630441,29,0.021095575550183616,28
