"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Sdhaf2",0.00295337193723415,0.260613724960825,0.471,0.314,1
"Sec24b",0.00295552425785974,0.501193639755997,0.237,0.142,1
"Dhdds",0.00295879605058224,0.684814366396437,0.162,0.084,1
"Podxl2",0.00296361894384851,0.468404547122498,0.407,0.282,1
"Sf3b1",0.00296482456004686,0.358183479432182,0.568,0.395,1
"Ndrg2",0.00298464292001613,0.363298209141205,0.44,0.308,1
"Rufy4",0.00299778950506528,0.647557721836618,0.173,0.093,1
"B4galt6",0.00299861384281157,0.359353289374042,0.237,0.137,1
"Dnajb12",0.0029987947169971,0.314085787695556,0.382,0.247,1
"Tspan12",0.00300200836638009,0.705142818394612,0.131,0.061,1
"Cdkn2c",0.00301077588111464,0.3693761386057,0.738,0.596,1
"Egr1",0.00301981807426326,0.252964661741082,0.479,0.331,1
"Pip4k2a",0.00302285034749684,0.446579354280663,0.365,0.244,1
"Gorasp2",0.00302433415920237,0.367330280428774,0.501,0.343,1
"Sema4a",0.00303296212373272,0.77254684620833,0.117,0.052,1
"2210016F16Rik",0.00303529146610433,0.290668538870455,0.365,0.238,1
"Clmp",0.00303933606783937,0.517092262186471,0.251,0.148,1
"Cped1",0.0030631478351607,0.311513389143133,0.226,0.128,1
"Stc2",0.00306658451327697,-1.13697137202725,0.181,0.253,1
"Anln",0.00307861637951938,0.630895058946077,0.117,0.052,1
"Tmem159",0.00308285990509845,0.273077159628649,0.145,0.07,1
"Acap3",0.00308596109082185,0.261783669726194,0.465,0.323,1
"Adcy4",0.0031023677626153,0.526044633715955,0.123,0.055,1
"Tarsl2",0.00311167989612799,0.728634720021138,0.1,0.041,1
"Son",0.00311399084704214,0.308268280511912,0.554,0.398,1
