"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ucp1",7.40690558903149e-28,2.59509289982997,1,0.514,1.2947270969627e-23
"Acta1",1.36002803282711e-25,-3.64681082598584,0.426,0.948,2.37732900138179e-21
"Fabp4",2.30214552010515e-22,1.75714965793894,1,0.983,4.02415036914381e-18
"Tkt",4.76702625933951e-21,1.00139054954466,1,0.988,8.33276190132546e-17
"Myh2",7.91591917766703e-21,-4.39699570918402,0.088,0.798,1.3837026722562e-16
"Gpd1",2.10699809387249e-20,2.01209619181096,1,0.572,3.68303266808912e-16
"Tmsb4x",3.09935989098946e-20,0.778203364358944,1,1,5.41768108944957e-16
"Hsp90b1",7.0601225663075e-20,0.98322587639018,1,0.983,1.23410942459055e-15
"Atp5e",1.18528068204022e-18,0.771436165443266,1,0.994,2.07187063220631e-14
"Cox8b",1.3431976078656e-18,1.49021200415255,1,0.902,2.34790941854908e-14
"Cfd",1.45729460061189e-18,2.01959072835788,0.956,0.503,2.54735096186959e-14
"Tnnt3",2.72614412933675e-18,-2.52677478742085,0.441,0.913,4.76529993808064e-14
"Acaa2",2.93621454985045e-18,1.66471504076317,1,0.688,5.13250303313858e-14
"Myh1",3.29300701258774e-18,-2.66480725527969,0.382,0.896,5.75617625800337e-14
"Tnnc2",3.51587784534494e-18,-2.95112634423374,0.294,0.867,6.14575447366296e-14
"Psap",3.9103512251864e-18,0.789583321396869,1,1,6.83529394162582e-14
"Etfb",4.0509347270496e-18,1.51381525579584,1,0.688,7.08103390288271e-14
"Gnas",1.83927905970706e-17,0.871292865929393,1,1,3.21505979636795e-13
"Thrsp",5.29930446053952e-17,1.8402053976665,0.897,0.364,9.26318419702309e-13
"Atp5d",1.10004831669577e-16,0.996324599583784,1,0.977,1.92288445758421e-12
"Mylpf",1.31627652165624e-16,-2.29861311551937,0.471,0.89,2.3008513598551e-12
"Acadl",1.44434085261423e-16,1.2849863951265,1,0.844,2.52470781036968e-12
"Dgat2",2.1757093231518e-16,1.77076489916865,0.941,0.434,3.80313989686934e-12
"Pnpla2",2.87411275484021e-16,1.65094613456349,1,0.792,5.02394909546069e-12
"Myl1",4.18369419163232e-16,-2.70884002334236,0.265,0.821,7.31309744697329e-12
"Plin1",4.37370235508496e-16,2.13199729181785,0.838,0.329,7.64523171668851e-12
"Eef1a1",7.9916252583407e-16,0.67415441621895,1,0.988,1.39693609515795e-11
"Acadvl",8.13220637255202e-16,1.73108036816945,0.956,0.532,1.42150967392209e-11
"Col1a1",9.25113391611809e-16,0.661391055427044,1,1,1.61709820853744e-11
"Eci1",9.97128624916573e-16,1.50450192413448,0.985,0.642,1.74298083635417e-11
"Aco2",1.09302848645714e-15,1.94425144619003,0.912,0.52,1.91061379432708e-11
"Uqcrc1",1.46316713415924e-15,1.12846744860768,1,0.902,2.55761615051036e-11
"Ywhag",1.48145589082156e-15,1.14728036445951,0.985,0.838,2.58958489715609e-11
"Adipoq",2.27181870506415e-15,1.43643272448347,0.971,0.647,3.97113909645214e-11
"Lipe",4.88441186501585e-15,1.71673885350886,0.926,0.457,8.5379519400477e-11
"Des",6.69604691594923e-15,-2.65712197201671,0.162,0.751,1.17046900090793e-10
"Cd36",8.96400774239066e-15,1.33693346377543,1,0.74,1.56690855336989e-10
"Pck1",5.92948279076627e-14,1.55758516605676,0.882,0.428,1.03647359182594e-09
"Gpx3",6.74150351609825e-14,1.1157419806875,1,0.936,1.17841481461397e-09
"Bckdha",1.154339659605e-13,1.51584722097807,0.912,0.439,2.01778572498954e-09
"Mdh2",1.26151531591719e-13,1.36930436365563,0.941,0.63,2.20512877222325e-09
"1520401A03Rik",1.69353661406969e-13,-3.51956808275015,0.132,0.676,2.96030200139382e-09
"Cox7a1",1.73057742958542e-13,1.70249663954096,0.853,0.422,3.02504934691532e-09
"Myh7",2.48291640450751e-13,-3.2164234635422,0.147,0.676,4.34013787507912e-09
"Sucla2",2.60190869084685e-13,1.84399697682888,0.794,0.393,4.54813639160029e-09
"Atp2a1",4.13742537784999e-13,-2.24701564436415,0.294,0.78,7.23221956048179e-09
"Actb",4.73363144399388e-13,0.683470449519425,1,1,8.2743877641013e-09
"Col1a2",6.09308942226978e-13,0.666443312900734,1,1,1.06507203101276e-08
"Itm2b",6.84160887324928e-13,0.615955526578944,1,1,1.19591323104397e-08
"Cidea",9.14738962524375e-13,1.54533169204294,0.897,0.497,1.59896370649261e-08
"Ifi27",9.5515211144075e-13,1.37088145536019,0.956,0.572,1.66960589079843e-08
"Decr1",1.43721357055696e-12,1.80119701728109,0.75,0.318,2.51224932133357e-08
"Uqcrfs1",1.50157725824399e-12,1.53864653119515,0.912,0.555,2.62475704741049e-08
"Apoc1",1.74161086758206e-12,1.69294022322812,0.824,0.341,3.04433579653344e-08
"Hspa5",1.83273193761067e-12,0.804075838702178,1,0.971,3.20361542694345e-08
"Micos13",2.47413079897771e-12,1.4220193810706,0.912,0.636,4.32478063661304e-08
"Pfn1",2.55363649837952e-12,0.75575363468899,1,1,4.46375659916741e-08
"Cox17",3.13468715305749e-12,1.18670071419314,0.926,0.578,5.47943314354449e-08
"Hadha",3.15917456916142e-12,1.62818553769354,0.838,0.387,5.52223714689417e-08
"Atp1b1",3.17148215618571e-12,1.11241046403222,0.985,0.775,5.54375080901262e-08
"Sdhb",3.27723069989584e-12,1.10356151050149,1,0.815,5.72859926341793e-08
"Reep5",3.28892465054849e-12,0.797651721669519,1,0.965,5.74904028915876e-08
"Acads",3.60117664464412e-12,1.76587854380863,0.824,0.428,6.29485677483793e-08
"Lpl",4.19006484679052e-12,1.45609975793955,0.956,0.566,7.32423335218983e-08
"Ptms",4.20018456540556e-12,0.63070544765482,1,1,7.34192262032893e-08
"Cox6a1",4.23082726493926e-12,0.992165469893374,1,0.965,7.39548605911383e-08
"Acadm",5.65919467001398e-12,1.50499419601774,0.882,0.572,9.89227228318445e-08
"Idh2",6.35358933708114e-12,1.38278929611711,0.926,0.59,1.11060741612178e-07
"Cebpa",9.62559138915735e-12,1.45772376153408,0.868,0.434,1.6825533748247e-07
"Ndufs8",1.40953344335519e-11,1.07529361729341,0.971,0.74,2.46386445898488e-07
"Eif4h",1.75174566484975e-11,0.693512547944656,1,0.988,3.06205142215736e-07
"Tcap",1.76064020010347e-11,-2.88037033822602,0.132,0.613,3.07759906978087e-07
"Hnrnpab",1.96435196941625e-11,0.541609438143448,1,1,3.4336872425396e-07
"Emc10",2.11234753551354e-11,1.25158772640415,0.897,0.532,3.69238349207767e-07
"Fth1",2.16199114314225e-11,0.566157544934797,1,1,3.77916051821266e-07
"Serf2",2.33760300355688e-11,0.714013289634475,1,0.994,4.08613005021742e-07
"Dlat",2.34450175986164e-11,1.54693489876216,0.779,0.399,4.09818907623815e-07
"Bglap",2.44261593146178e-11,0.893247258692194,1,1,4.26969264819519e-07
"Cox8a",2.71787324769448e-11,0.876675440759823,1,0.908,4.75084243696995e-07
"Atp5b",3.36466246964853e-11,0.981392874963333,0.985,0.902,5.88142999694563e-07
"Cat",3.38805273841537e-11,1.2580394959134,0.971,0.659,5.92231618675007e-07
"Ech1",3.46123378931918e-11,1.32019833878612,0.941,0.572,6.05023666372993e-07
"Ndufb10",3.61130620891642e-11,0.827318754702734,0.985,0.931,6.3125632531859e-07
"Igfbp5",3.81704014623499e-11,0.749559639977198,1,0.994,6.67218617561876e-07
"Dbi",4.69180480247759e-11,1.10500971022851,1,0.803,8.20127479473084e-07
"Laptm5",5.41701172525523e-11,1.28745914026212,0.897,0.497,9.46893649574614e-07
"Ttn",6.19958271013744e-11,-3.49653138273494,0.088,0.538,1.08368705773202e-06
"Idh3a",6.20942206745071e-11,1.33908304008853,0.926,0.572,1.08540697739038e-06
"Sptbn1",6.30561477232631e-11,1.11327732621211,0.985,0.751,1.10222146220264e-06
"Ahcyl1",6.35720076721255e-11,1.20607306715179,0.926,0.572,1.11123869410875e-06
"Coq8a",7.32017523929085e-11,1.27885937299548,0.926,0.549,1.27956663182804e-06
"Cyc1",7.41313082452381e-11,0.989068783580985,1,0.821,1.29581526812676e-06
"Prrc2a",7.43745604065955e-11,0.779821738301459,1,0.89,1.30006731590729e-06
"Ogdh",7.65947784208696e-11,1.04616313035357,0.985,0.798,1.3388767267968e-06
"Sdhd",8.45900587745678e-11,1.11153713789324,0.912,0.503,1.47863422737945e-06
"Rsrp1",9.57700698269559e-11,0.974794351910278,0.971,0.913,1.67406082057519e-06
"Ndufb6",9.58853018485444e-11,0.870727342443398,1,0.827,1.67607507631256e-06
"Ppp2r1a",1.03884287901552e-10,1.31801904072687,0.868,0.543,1.81589735251912e-06
"Ubr4",1.05613330695635e-10,0.995321713594736,0.956,0.769,1.8461210205597e-06
"Ckm",1.18124927532483e-10,-1.51858651442865,0.544,0.89,2.06482373326781e-06
"Spta1",1.36633825980955e-10,0.929802834161297,0.985,0.867,2.38835927814709e-06
"Dlst",1.38827199359508e-10,1.2006792979089,0.882,0.514,2.4266994448042e-06
"Slc1a5",1.54563488970231e-10,0.985937348996954,0.985,0.78,2.70176978719964e-06
"Hbb-bt",2.16648715485663e-10,0.710567360819425,1,1,3.78701954668938e-06
"Mgll",2.26131592294472e-10,1.26916287438511,0.853,0.491,3.95278023330737e-06
"Cd74",2.42968966373176e-10,1.25513624789404,0.985,0.867,4.24709753220311e-06
"Tpm2",2.64416961640806e-10,-1.51989578179549,0.5,0.85,4.62200848948128e-06
"Tagln2",2.6848962031879e-10,0.919527850327908,1,0.931,4.69319856317245e-06
"Mdh1",2.95337893074097e-10,1.15840374293122,0.926,0.642,5.16250637093521e-06
"Mt1",3.89783553773511e-10,0.914640460378701,0.971,0.832,6.81341651996097e-06
"Pdha1",3.90694595165223e-10,1.15225370147204,0.926,0.601,6.82934152348811e-06
"Spp1",3.93200547502068e-10,0.611925160224374,1,1,6.87314557033615e-06
"Acly",3.93260678492685e-10,1.31613849076576,0.868,0.538,6.87419666005214e-06
"S100a1",4.05368608658649e-10,1.40646257007016,0.868,0.509,7.08584327935318e-06
"Ghitm",4.45564651666082e-10,1.38960065270678,0.824,0.497,7.78847011112311e-06
"Ighm",4.57517669737499e-10,0.788067598513503,1,0.936,7.99740886701148e-06
"Tuba1a",4.96896625613362e-10,1.11476851309059,0.985,0.902,8.68575301572157e-06
"Prkar2b",5.15541399445458e-10,1.5361992107764,0.75,0.382,9.01166366230661e-06
"Cox5b",5.48402473760663e-10,0.796150217588567,1,0.977,9.58607524133639e-06
"Gnai2",6.27922366315333e-10,0.672803800612122,1,0.994,1.0976082963192e-05
"Hspa9",6.41413124777967e-10,1.10371134952211,0.971,0.803,1.12119014211189e-05
"Rack1",7.17718326018246e-10,0.507712055512836,1,1,1.25457163387989e-05
"Crat",7.44358479189743e-10,1.2540559819949,0.868,0.509,1.30113862162367e-05
"Tnn",7.9411677574409e-10,2.48181491308117,0.691,0.341,1.38811612400067e-05
"Sod2",8.74737044529521e-10,1.31896849455573,0.853,0.486,1.5290403538376e-05
"Hspb7",9.9422241840019e-10,-2.94159584456578,0.118,0.543,1.73790078736353e-05
"Serpinh1",1.00328461797734e-09,0.657038042681431,1,1,1.75374151222439e-05
"Gnb1",1.05470220519072e-09,1.10371134952211,0.912,0.561,1.84361945467338e-05
"Syk",1.07451934492203e-09,1.22163450430253,0.882,0.561,1.8782598149237e-05
"Gpi1",1.22235635170418e-09,0.701386884480632,1,0.977,2.13667890277891e-05
"Oaz1",1.41422672092651e-09,0.63593202442712,1,1,2.47206830817955e-05
"Zcchc14",1.45403723053676e-09,1.38111271830972,0.794,0.474,2.54165707897826e-05
"Cdo1",1.7156462727953e-09,1.43617039244513,0.794,0.405,2.99894968484618e-05
"Uqcr11",1.79005394423432e-09,1.10085433814372,0.912,0.682,3.1290142945216e-05
"Hspd1",2.12097806095069e-09,1.11127712256571,0.941,0.566,3.7074696505418e-05
"Atox1",2.324196825282e-09,1.18235451664072,0.853,0.601,4.06269605059294e-05
"Cs",2.39845091719705e-09,0.905793739294079,0.985,0.827,4.19249220326045e-05
"Atp5a1",2.50368004134989e-09,0.71268274982143,1,0.977,4.3764327122796e-05
"Clta",2.75578064015066e-09,0.715457985292725,0.985,0.931,4.81710455898336e-05
"Ctsb",3.0793290975018e-09,0.702448143144806,1,0.988,5.38266726243315e-05
"Tapbp",3.21042142874806e-09,0.898927836789205,0.985,0.815,5.61181665745162e-05
"Pabpc1",3.82382397936644e-09,0.692744749338393,1,0.994,6.68404431593253e-05
"Npc2",3.92708953368697e-09,1.16147306908576,0.926,0.676,6.86455250488482e-05
"Canx",4.14847941568899e-09,1.15694297071085,0.853,0.584,7.25154201862436e-05
"Cst3",4.15325477957094e-09,0.543897421852024,1,1,7.25988935468999e-05
"Sdf4",4.20913447541693e-09,0.832067692539801,0.926,0.873,7.35756706302879e-05
"Cox6a2",4.25154490638102e-09,-2.55972520922213,0.132,0.543,7.43170049635403e-05
"Idh3b",4.87250160998774e-09,1.17724038494407,0.912,0.514,8.51713281425857e-05
"Echs1",5.21093385966478e-09,1.11655245824497,0.926,0.561,9.10871238669404e-05
"Puf60",5.21573984568689e-09,0.853799526422582,0.941,0.827,9.11711325026069e-05
"Txnip",5.22029467847271e-09,1.2327660136493,0.926,0.624,9.1250750979703e-05
"Wdr26",5.3488678885886e-09,0.776108487690447,1,0.832,9.34982106925287e-05
"S100a9",5.98232377687339e-09,0.61096016307588,1,1,0.000104571019619747
"Hist1h1c",6.2945645652171e-09,0.528930883380097,1,1,0.000110028988599995
"Arpc1b",6.76501033505971e-09,0.913655227036063,1,0.751,0.000118252380656844
"Hba-a2",7.86525837336208e-09,0.564930703171428,1,1,0.000137484716366369
"Apoe",8.29895222608959e-09,0.644757014256547,1,0.994,0.000145065684912046
"Rnf187",9.66796596272855e-09,0.640896589443096,1,0.971,0.000168996045028495
"Eif4a1",1.00144941968829e-08,0.899150564661269,0.956,0.665,0.000175053358561513
"Nucks1",1.25889588223189e-08,0.637107665683696,1,0.971,0.000220055000214134
"Rap1b",1.26143270374172e-08,0.920155245441465,0.941,0.665,0.000220498436614053
"Calm1",1.27822505650867e-08,0.935309134352222,0.985,0.769,0.000223433739877716
"Mecr",1.36733559538678e-08,1.63667200358137,0.676,0.329,0.000239010262073609
"Myo1c",1.38610619434978e-08,0.864274794925099,0.971,0.827,0.000242291362772342
"Midn",1.4164306500323e-08,1.20776232972097,0.838,0.549,0.000247592077625646
"Aqp1",1.4324776550019e-08,0.604751247688433,1,1,0.000250397094094332
"Ndufs7",1.43989925732759e-08,1.0519428542624,0.971,0.751,0.000251694390180863
"Grina",1.63298899931375e-08,1.0796850755214,0.897,0.63,0.000285446477080043
"Mapkapk2",1.64592006920872e-08,1.07816942231387,0.912,0.63,0.000287706828097684
"Tnnt1",1.66822878401536e-08,-4.04515203639238,0.029,0.399,0.000291606391445885
"Adig",1.70675091105346e-08,1.66909348127375,0.632,0.301,0.000298340059252144
"Tent5c",1.71179054840425e-08,0.947758538821305,0.956,0.734,0.000299220987861064
"Map7d1",1.74849235880823e-08,0.842963897629066,0.985,0.919,0.000305636464319678
"Sh3bgrl",1.76217387577079e-08,1.06522702282771,0.868,0.52,0.000308027993484734
"Hadhb",1.76232915355286e-08,1.50844629341945,0.706,0.382,0.000308055136041041
"Erp29",1.86047893869764e-08,1.00079643223572,0.941,0.699,0.000325211718484348
"Stmn2",2.04504320506803e-08,2.75155564146572,0.368,0.081,0.000357473552245892
"Hnrnpa2b1",2.41971618439879e-08,0.569749872562481,1,1,0.000422966389032909
"Gja1",2.51880505912144e-08,0.787127140825458,1,0.844,0.000440287124334427
"Srsf6",2.58588317426984e-08,0.64757740203421,1,0.977,0.000452012378862368
"Psmd3",2.7799562520193e-08,0.913591935670114,0.971,0.682,0.000485936352852973
"Ppp1ca",2.88534906985395e-08,0.714442468448621,0.985,0.908,0.000504359017410471
"Cyba",3.00784491555667e-08,0.789439469939032,1,0.867,0.000525771291239306
"Grpel1",3.42825637523948e-08,1.26754821832302,0.794,0.566,0.000599259214391862
"Idh3g",3.59787668994269e-08,1.35934010033249,0.765,0.445,0.000628908845401983
"Chmp4b",3.89203841105787e-08,0.71268274982143,1,0.942,0.000680328314252915
"Ak2",3.95773281646706e-08,0.834042887425352,0.941,0.763,0.000691811696318443
"Ptbp1",4.10744129467378e-08,0.891032866010182,0.956,0.74,0.000717980738308976
"Hsd17b12",4.11045452696924e-08,1.56955780772283,0.662,0.353,0.000718507451314223
"Tnni2",4.30179333089861e-08,-2.60036719371948,0.074,0.451,0.000751953474241077
"Arl6ip1",4.35336589359481e-08,0.725677009640115,1,0.948,0.000760968358200372
"Cnn2",4.87348906034267e-08,0.779480877097065,0.985,0.838,0.000851885887747899
"Ctsk",5.37276783454283e-08,0.816555250193481,1,0.994,0.000939159817478086
"Hist2h2bb",5.57300602332404e-08,0.600688975839093,1,1,0.000974161452877042
"Jund",5.59301467067878e-08,0.558537672397686,1,0.994,0.00097765896443465
"Pgls",5.75935273923975e-08,0.906168660044861,0.926,0.665,0.00100673485881911
"Arhgdib",5.83598673764454e-08,0.7717466583361,1,0.96,0.00102013048174027
"Tgfb1",5.94623152613055e-08,0.577070082897864,1,0.965,0.00103940127076762
"Akr1a1",5.97802375266115e-08,0.827158327505999,0.956,0.798,0.00104495855196517
"Phospho1",6.00623734480559e-08,0.895530733443971,0.956,0.867,0.00104989028787202
"Grn",6.24591471484511e-08,0.831707395963182,0.956,0.699,0.00109178589215493
"Mtch1",6.39748921714486e-08,0.831601011153577,0.985,0.884,0.00111828111515692
"Mpc2",6.47097402719783e-08,1.13501214955478,0.779,0.462,0.00113112625995418
"E2f4",6.77957529927015e-08,0.686941482606672,0.971,0.879,0.00118506976231242
"Rnf10",6.99837556069961e-08,0.780818563832576,1,0.884,0.00122331604801029
"Chsy3",7.10045501444784e-08,1.39066702502297,0.706,0.41,0.00124115953652548
"Nedd4",7.33479279180805e-08,0.982290681845636,0.868,0.561,0.00128212178000805
"Phb2",7.43622781114699e-08,1.21491758808795,0.794,0.509,0.00129985262138849
"Ubc",7.74319863903805e-08,0.729311004107855,0.985,0.925,0.00135351112210385
"Tpt1",8.22967278624529e-08,0.745449650926959,1,0.942,0.00143854680303568
"Hist1h3b",8.55011843228271e-08,0.602236028309396,1,1,0.00149456070196302
"Atp5k",9.16305336877908e-08,0.907003292951925,0.926,0.717,0.00160170172886258
"Cpeb4",9.54273894951071e-08,0.954250698005682,0.868,0.538,0.00166807076837447
"Hist1h2bk",9.54932207466824e-08,0.846736395876897,0.971,0.769,0.00166922149865201
"Dld",1.00237495309165e-07,1.28374000624475,0.706,0.405,0.00175215141800421
"Ndufb7",1.02367344994435e-07,0.620686299408671,1,0.96,0.00178938119050273
"Slc36a2",1.04405867272691e-07,1.41620703081604,0.706,0.399,0.00182501455992663
"Hnrnpa0",1.05954637586904e-07,0.475515212922235,1,1,0.00185208706501908
"Fhl1",1.0827274388672e-07,-1.15696603972173,0.397,0.751,0.00189260756313987
"4931406C07Rik",1.18996142323454e-07,2.18846764036733,0.412,0.121,0.00208005256781397
"Ndufv1",1.19364704840792e-07,0.900082160176733,0.985,0.832,0.00208649504061704
"Rcc2",1.2837017093719e-07,0.91232764437341,0.956,0.711,0.00224391058798208
"Efhd2",1.31858150181198e-07,0.819376594052463,0.941,0.694,0.00230488046516734
"Eif4g1",1.3291271546588e-07,0.700231993082652,1,0.884,0.00232331426634358
"Sqstm1",1.35785818736384e-07,0.631488527577933,1,0.936,0.00237353611151199
"Ppp1r15a",1.38507728421128e-07,0.834644898333868,0.926,0.786,0.00242111509280132
"Mmp9",1.46836860305699e-07,0.76833419553494,1,0.988,0.00256670831814362
"Cd24a",1.47571422259251e-07,0.628347138930438,1,0.948,0.00257954846109171
"Cavin2",1.48486516270979e-07,1.33519274472031,0.735,0.462,0.00259554430441671
"C3",1.58445915038049e-07,1.22898396003807,0.691,0.364,0.0027696345948651
"Stk25",1.75880573944704e-07,0.916814831613037,0.926,0.699,0.00307439243255342
"Ctsz",1.94029655606436e-07,1.15706250300644,0.824,0.601,0.00339163838000051
"Hist1h3c",1.95878999909099e-07,0.581327042581023,1,1,0.00342396491841104
"Actr10",2.10124753773374e-07,1.18738494234962,0.765,0.474,0.00367298069595858
"Dazap2",2.18371094729407e-07,0.792062174358339,0.971,0.757,0.00381712673587004
"Ndufc2",2.26580785049541e-07,0.827236771082719,1,0.861,0.00396063212266598
"Srsf5",2.32387368983263e-07,1.24498499157991,0.735,0.445,0.00406213120982744
"Lum",2.38104692229989e-07,1.11153713789324,0.853,0.642,0.00416207002018021
"Cxcl12",2.44433031351485e-07,0.733633733468458,0.985,0.884,0.00427268938802395
"Col11a1",2.48235635483973e-07,0.978383478068414,0.941,0.688,0.00433915890825984
"Pgam1",2.49142950939283e-07,0.798272140372751,0.971,0.815,0.00435501878241867
"Zyx",2.72562427077046e-07,0.698529140660278,1,0.832,0.00476439122530677
"Alad",2.79804392120815e-07,1.11367525616661,0.853,0.578,0.00489098077427185
"Dek",2.84535205651878e-07,0.665206559189588,0.985,0.89,0.00497367539479482
"Arhgdia",2.89455207818708e-07,0.652904243174417,0.971,0.925,0.00505967703267102
"Aldh6a1",3.02860975876046e-07,1.42180418727914,0.735,0.434,0.00529400985831328
"Serbp1",3.17409924330296e-07,0.569739702073561,1,0.994,0.00554832547729358
"B2m",3.21346838808325e-07,0.791016583169966,0.956,0.838,0.00561714274236951
"Plxnd1",3.23509911353839e-07,1.04908403345339,0.868,0.561,0.00565495325046511
"Eif5",3.26188058879263e-07,0.813865005487722,0.941,0.786,0.00570176726920952
"Zeb2",3.34009718839643e-07,1.11956467404718,0.838,0.607,0.00583848988531696
"Adgre5",3.43738874678647e-07,1.20845911555479,0.735,0.468,0.00600855552938274
"Tle5",3.46214433782752e-07,0.639593577214989,0.985,0.948,0.00605182830252251
"Tacc1",3.70213614916338e-07,0.875096942071162,0.926,0.659,0.00647133398873758
"Yy1",3.82652584871435e-07,0.523195750477885,1,0.971,0.00668876718355268
"Polr1d",3.83689988569721e-07,0.794899923484677,0.971,0.879,0.00670690100019872
"Laptm4a",3.96375039958166e-07,0.491108710037484,1,1,0.00692863569846874
"Hnrnpu",3.96986138927762e-07,0.469567625247063,1,1,0.00693931770845727
"Sdha",4.00543841495819e-07,1.17904262757806,0.706,0.387,0.00700150634934692
"Atp6v0e",4.08057559749642e-07,0.98698982214206,0.824,0.555,0.00713284614442374
"Lgals1",4.09468570227467e-07,0.929930331403295,0.985,0.85,0.00715751060757612
"Suclg1",4.10366115218275e-07,1.66909348127375,0.559,0.272,0.00717319969401546
"Acacb",4.12170813822734e-07,1.37491037686929,0.735,0.416,0.0072047458256214
"Olfml2b",4.21683218367454e-07,1.03832729093947,0.824,0.595,0.0073710226570631
"Nisch",4.34517155217563e-07,0.840531246350189,0.912,0.74,0.007595359873203
"Lsm4",4.6990789683701e-07,0.732162122716749,0.985,0.896,0.00821399003671094
"Nrp2",4.83047634476071e-07,1.00447873133223,0.853,0.566,0.00844367265064172
"Eif4g2",4.8521907728545e-07,0.811350534994317,0.956,0.815,0.00848162947094966
"Prdx5",4.95564232281015e-07,0.901927649331842,0.912,0.572,0.00866246278027214
"Gpx1",5.14460648524573e-07,0.615170934370448,1,0.994,0.00899277213620954
"Nedd8",5.16688706104821e-07,0.803230153925284,0.956,0.798,0.00903171858271227
"Ryr1",5.26825542784114e-07,-2.97476270850098,0.044,0.37,0.00920891048786631
"Sdcbp",5.42299796100457e-07,0.833336062524325,1,0.74,0.00947940043583599
"Tspo",5.53410542017339e-07,0.857265082636836,0.985,0.827,0.00967361627446308
"H2-D1",5.62321837951524e-07,0.632256713093376,0.985,0.884,0.00982938572739263
"Rab1b",5.8434222168804e-07,0.979708951641651,0.838,0.59,0.0102143020351069
"Cox7b",5.86969766923745e-07,1.01137463811728,0.897,0.584,0.0102602315258271
"Atp6v0c",6.07434740151148e-07,0.894653181688879,0.868,0.636,0.0106179592578421
"Pnrc1",6.47257495390833e-07,0.682121562006166,1,0.913,0.0113140610194318
"Depp1",6.49166696214939e-07,1.72567700964012,0.529,0.231,0.0113474338498371
"Agpat3",6.74975264211844e-07,1.63667200358137,0.544,0.266,0.011798567618423
"Acp5",6.79082289225932e-07,0.82352813112839,1,0.994,0.0118703584156693
"Igkc",6.86565368925282e-07,0.87541349611322,0.941,0.699,0.0120011626488139
"Eef2",7.20385695339598e-07,0.477106717301656,1,1,0.0125923419545362
"Synpo2",7.28841821240814e-07,-3.04515203639237,0.044,0.358,0.0127401550352894
"Ube2b",7.51331535416615e-07,0.701596120961077,0.971,0.798,0.0131332752390824
"Etfa",7.7961526678177e-07,1.36137924560609,0.676,0.387,0.0136276748633453
"Dmp1",7.97332236859002e-07,0.884733361036664,0.971,0.838,0.0139373675002953
"Lmna",8.17546015351631e-07,0.711033904379925,1,0.936,0.0142907043483465
"Aldoa",8.23709363853118e-07,0.707665601655796,0.971,0.786,0.0143984396801525
"Ppp2ca",8.31047716770465e-07,0.854566903813888,0.912,0.751,0.0145267140891477
"Cenpb",8.41828206129067e-07,0.878210993630582,0.868,0.613,0.0147151570431361
"Col4a2",8.61663020292324e-07,0.638256077351155,0.985,0.942,0.0150618695947098
"Lman2",8.64049874776132e-07,0.978626349207433,0.838,0.572,0.0151035918110868
"Ldb3",8.71828747042442e-07,-2.39430160001476,0.088,0.416,0.0152395664983019
"Ahnak",9.19303341446865e-07,0.765617550077994,0.971,0.855,0.0160694224084912
"Snrnp70",9.42087060275492e-07,0.488543999871119,1,1,0.0164676818136156
"Cyb5a",9.49902981588887e-07,1.33410923356094,0.676,0.422,0.0166043041181738
"Mbd2",9.65562599947862e-07,0.751753936434199,0.985,0.919,0.0168780342470886
"Cct3",9.71411351342298e-07,1.0328504756089,0.809,0.613,0.0169802704214634
"Tcp1",9.9122945475248e-07,0.689898096413044,0.985,0.867,0.0173266908690734
"Ctsl",1.01071359697409e-06,0.738674350168988,0.926,0.74,0.0176672736751071
"Sf1",1.01176672624902e-06,0.747185850024506,0.985,0.821,0.0176856823748329
"Scp2",1.01718380361546e-06,0.877680103085165,0.882,0.607,0.0177803728871983
"Ctsd",1.02931655269592e-06,1.04825394422399,0.838,0.578,0.0179924533411248
"Gnb2",1.10976453075182e-06,0.690560216172089,0.985,0.919,0.0193986839975418
"Dhrs3",1.23130333643474e-06,1.33386856377293,0.691,0.41,0.0215231823208792
"Calr",1.24863002479894e-06,0.783419371574925,0.941,0.896,0.0218260528334855
"Ubxn1",1.26381313160837e-06,0.66397104866116,0.985,0.89,0.0220914535405143
"Csrp1",1.26858998949606e-06,0.693284944990499,0.971,0.775,0.0221749530163911
"Psmd2",1.2687387569812e-06,1.01198119479676,0.794,0.572,0.0221775534720313
"Ndufab1",1.27664265053604e-06,1.27081450025627,0.662,0.37,0.02231571353137
"Usp5",1.2915116379668e-06,1.36310693025541,0.647,0.376,0.0225756234316597
"Glg1",1.34776144274387e-06,0.934782340553519,0.824,0.584,0.0235588700191629
"S100a6",1.36437432268803e-06,0.70925400571627,0.985,0.786,0.0238492631605868
"Gpc1",1.38344742424121e-06,0.834352671421065,0.971,0.879,0.0241826609757364
"Ddx5",1.41833156053975e-06,0.596885438939298,1,0.954,0.0247924356782349
"Ddost",1.49950281518718e-06,0.92241273227433,0.809,0.52,0.026211309209472
"Erh",1.50117364588842e-06,0.95658093083208,0.809,0.566,0.0262405153301295
"Tnc",1.51630132967255e-06,0.972020614231054,0.868,0.659,0.0265049472426762
"Aurkaip1",1.53992308605437e-06,1.31679173734287,0.662,0.422,0.0269178555442303
"Rab5if",1.58485488249093e-06,0.98698982214206,0.824,0.555,0.0277032633459415
"Mgat4b",1.64077826055195e-06,1.17521270359709,0.676,0.376,0.0286808039944481
