"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ecd",0.0460007961988259,0.887733767749088,0.25,0.145,1
"Borcs8",0.0461602109367396,0.646725668245293,0.5,0.41,1
"Patl1",0.0461935786110464,1.0576587691914,0.206,0.11,1
"Bhlhe41",0.0462059595036744,-1.52730373152976,0.029,0.11,1
"Rtn2",0.0462059595036744,-1.52730373152976,0.029,0.11,1
"Rhot2",0.0462180968342867,0.625267240309121,0.559,0.468,1
"Pacs1",0.0462435966408128,0.916531032056523,0.25,0.145,1
"Mrrf",0.0463031565401942,1.28303504896667,0.206,0.116,1
"Mast4",0.0463457595367651,1.5586694915801,0.176,0.092,1
"Itgam",0.0463666772654542,1.10205288854985,0.265,0.168,1
"Pithd1",0.0463906006338113,0.626547786307663,0.544,0.486,1
"Zfp174",0.0464118533537702,1.58817348589018,0.132,0.058,1
"Snupn",0.0464124981530091,1.69508868980669,0.132,0.058,1
"Htra2",0.0465165802057556,0.653268514112065,0.5,0.399,1
"Selplg",0.0466248810313426,0.814291396813683,0.382,0.283,1
"Lmbr1l",0.0466302506258618,-1.46018953567122,0.029,0.11,1
"Abhd10",0.0466302506258618,-1.46018953567122,0.029,0.11,1
"Tpp1",0.0467767604739285,1.13035399731324,0.294,0.202,1
"Scaf1",0.0467811329851153,0.353041952723054,0.809,0.723,1
"Icmt",0.0469310641263957,0.957218868070371,0.309,0.202,1
"Foxj3",0.0469715592571042,0.941173026710548,0.324,0.225,1
"Igf2bp3",0.0471225622372668,0.984595307001677,0.176,0.087,1
"Scarb2",0.0471973719538529,1.06337242038579,0.25,0.15,1
"Ccn5",0.0472355364261428,-0.9091743668734,0.103,0.214,1
"Jph1",0.047261724155914,-1.13088191041826,0.088,0.191,1
"Aldh4a1",0.0472885732374831,1.40605907543995,0.206,0.116,1
"Cul4b",0.047416964573352,-1.06787211289246,0.074,0.173,1
"Sept11",0.0474283924970926,0.824938641013192,0.559,0.497,1
"Arhgap26",0.0474956449987059,1.70973546577109,0.147,0.069,1
"Mak16",0.0476269934303694,1.52773763202821,0.162,0.081,1
"Reps1",0.0476269934303694,1.52773763202821,0.162,0.081,1
"Spag7",0.0476407683288457,0.754823355299631,0.485,0.399,1
"Fzd1",0.0477698962508215,0.932127887107541,0.294,0.191,1
"Myl9",0.0477772215963608,0.638214168389776,0.456,0.347,1
"Slc31a1",0.0478795913326227,1.03400750112675,0.309,0.214,1
